gene-vRNA-HA	NGS_Sw-HA|4|	1	1779	+	1779	70776	21545.457366458475
gene-mRNA-HA	NGS_Sw-HA|4|	33	1733	-	1701	132358	42139.70917669405
gene-vRNA-NA	NGS_Sw-NA|6|	1	1457	+	1457	15783	5866.4538196464355
gene-mRNA-NA	NGS_Sw-NA|6|	21	1430	-	1410	75677	29066.34648459499
gene-vRNA-NS1	NGS_Sw-NS|8|	1	890	+	890	12744	7754.6358338067885
gene-mRNA-NS1	NGS_Sw-NS|8|	27	719	-	693	43052	33643.85468737396
gene-vRNA-PB1	NGS_Sw-PB1|2|	1	2341	+	2341	27197	6291.659908776947
gene-mRNA-PB1	NGS_Sw-PB1|2|	25	2298	-	2274	253921	60471.92740174028
gene-vRNA-MP	NGS_Sw_M|7|	1	1027	+	1027	34093	17977.960687531868
gene-mRNA-MP	NGS_Sw_M|7|	26	784	-	759	38143	27215.650776362058
gene-vRNA-NP	NGS_Sw_NP|5|	1	1565	+	1565	36779	12727.151870759759
gene-mRNA-NP	NGS_Sw_NP|5|	46	1542	-	1497	183112	66243.10141270328
gene-vRNA-PA	NGS_Sw_PA|3|	1	2233	+	2233	27658	6707.762862945612
gene-mRNA-PA	NGS_Sw_PA|3|	25	2175	-	2151	151630	38175.99596799565
gene-vRNA-PB2	NGS_Sw_PB2|1|	1	2341	+	2341	13065	3022.4119097022035
gene-mRNA-PB2	NGS_Sw_PB2|1|	28	2307	-	2280	331206	78669.97283946873
