gene-vRNA-HA	NGS_D-HA|4|	1	1779	+	1779	168057	45967.93493545103
gene-mRNA-HA	NGS_D-HA|4|	29	1735	-	1707	110237	31424.48724776474
gene-vRNA-MP	NGS_D-M|7|	1	1027	+	1027	119770	56748.18048607289
gene-mRNA-MP	NGS_D-M|7|	26	784	-	759	21213	13599.866694130846
gene-vRNA-NA	NGS_D-NA|6|	1	1398	+	1398	49222	17132.724054332484
gene-mRNA-NA	NGS_D-NA|6|	21	1370	-	1350	56502	20365.936610338587
gene-vRNA-NP	NGS_D-NP|5|	1	1565	+	1565	149421	46459.189821345826
gene-mRNA-NP	NGS_D-NP|5|	46	1542	-	1497	70378	22876.49345780457
gene-vRNA-NS1	NGS_D-NS|8|	1	890	+	890	100408	54897.50984812874
gene-mRNA-NS1	NGS_D-NS|8|	27	719	-	693	32870	23080.265738731327
gene-vRNA-PA	NGS_D-PA|3|	1	2233	+	2233	172462	37581.92577709235
gene-mRNA-PA	NGS_D-PA|3|	25	2175	-	2151	310874	70326.39024370149
gene-vRNA-PB1	NGS_D-PB1|2|	1	2341	+	2341	532574	110701.34111166047
gene-mRNA-PB1	NGS_D-PB1|2|	25	2298	-	2274	210751	45097.609217990655
gene-vRNA-PB2	NGS_D-PB2|1|	1	2341	+	2341	65945	13707.390784395126
gene-mRNA-PB2	NGS_D-PB2|1|	28	2307	-	2280	541861	115645.13901526085
