gene-vRNA-HA	NGS_Sw-HA|4|	1	1779	+	1779	83241	19957.14107512998
gene-mRNA-HA	NGS_Sw-HA|4|	33	1733	-	1701	175700	44055.93618537593
gene-vRNA-NA	NGS_Sw-NA|6|	1	1457	+	1457	22303	6528.910558791952
gene-mRNA-NA	NGS_Sw-NA|6|	21	1430	-	1410	133233	40302.28602260588
gene-vRNA-NS1	NGS_Sw-NS|8|	1	890	+	890	22058	10570.92793820746
gene-mRNA-NS1	NGS_Sw-NS|8|	27	719	-	693	69460	42750.23740920875
gene-vRNA-PB1	NGS_Sw-PB1|2|	1	2341	+	2341	16184	2948.6378945127167
gene-mRNA-PB1	NGS_Sw-PB1|2|	25	2298	-	2274	616015	115541.45002407167
gene-vRNA-MP	NGS_Sw_M|7|	1	1027	+	1027	71578	29726.659068391353
gene-mRNA-MP	NGS_Sw_M|7|	26	784	-	759	45601	25625.336507745393
gene-vRNA-NP	NGS_Sw_NP|5|	1	1565	+	1565	49223	13415.001445597054
gene-mRNA-NP	NGS_Sw_NP|5|	46	1542	-	1497	243366	69338.60343962077
gene-vRNA-PA	NGS_Sw_PA|3|	1	2233	+	2233	26218	5007.809763769628
gene-mRNA-PA	NGS_Sw_PA|3|	25	2175	-	2151	373866	74133.16595089226
gene-vRNA-PB2	NGS_Sw_PB2|1|	1	2341	+	2341	5389	981.8468619333311
gene-mRNA-PB2	NGS_Sw_PB2|1|	28	2307	-	2280	838351	156829.59691301294
