"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000130787",307.64062894558,-3.83252932500273,0.317918960377992,7.07686165003437e-35,9.79508420981257e-31
"ENSG00000204389",447.98877273678,-3.64878928520264,0.324710014559666,1.76642094766498e-30,1.22245161683155e-26
"ENSG00000197110",321.080653065587,-6.43460581088228,0.615294650549612,1.24667626472221e-26,5.22083362870812e-23
"ENSG00000183709",310.348614625077,-6.42199578715499,0.609634598110078,1.50880243586681e-26,5.22083362870812e-23
"ENSG00000171522",81.5482431923681,-3.44594881930685,0.356338954446429,3.55665920011662e-23,9.84554399776283e-20
"ENSG00000198369",223.213583794661,-1.97265347630595,0.209597536219617,3.57446852950101e-22,8.24570315280393e-19
"ENSG00000197061",190.022723014485,2.72774883144725,0.292740776967634,8.67324541899664e-22,1.50057987305416e-18
"ENSG00000157350",151.553692420285,-1.99623484293312,0.21303133420493,7.9192518512218e-22,1.50057987305416e-18
"ENSG00000196526",249.295325988164,-3.2292687125997,0.349466809035789,3.5436484003986e-21,5.44973750110189e-18
"ENSG00000170445",217.382637960497,-2.17221814057574,0.242212845561997,2.13887682307629e-20,2.96041941081989e-17
"ENSG00000204388",216.19342453728,-3.60688897318843,0.413688675370753,1.38992144404512e-19,1.63975358403718e-16
"ENSG00000132002",1150.17119849268,-3.33915238226197,0.38100142595526,1.4216489421607e-19,1.63975358403718e-16
"ENSG00000188385",66.5818289288823,-3.17917732167345,0.363080641074326,5.11222000025671e-19,5.44294130950408e-16
"ENSG00000167779",99.6933577811995,-3.07671718383134,0.354529300814142,5.82003248621859e-19,5.7539335458394e-16
"ENSG00000138646",520.776064099889,-2.94112642061843,0.342858491754863,7.12784501700214e-19,6.57710019202177e-16
"ENSG00000185507",288.593152601443,-2.43500296560059,0.285216378868405,1.07678896424374e-18,9.31489753381099e-16
"ENSG00000172216",171.122922426135,-2.14448741674138,0.258572238472761,1.15299795862518e-17,9.38743808548886e-15
"ENSG00000128342",247.240260763871,-2.25228042389596,0.272498567304106,1.94700830736528e-17,1.49714122123571e-14
"ENSG00000198042",304.760790824988,1.80330908590922,0.219800537718695,2.20449900860327e-17,1.60591951463568e-14
"ENSG00000120694",746.632986255335,-2.48976462393765,0.308378459335953,4.7374812441193e-17,3.27857389499276e-14
"ENSG00000125730",242.519860921547,-3.4125867558394,0.423614289878386,6.90072969778921e-17,4.54823808319526e-14
"ENSG00000204351",145.765383230955,-2.5036341379447,0.314758584904,1.19054416346942e-16,7.49014625753646e-14
"ENSG00000206503",408.381383233664,-2.38916548279572,0.300174111273383,1.45376672578863e-16,8.74851532680016e-14
"ENSG00000131459",97.0218895997647,-2.47125879396199,0.310594134148178,1.93837517959936e-16,1.07316203443339e-13
"ENSG00000171855",98.9612011746244,-6.71893256872564,0.841043010205781,1.92072141634201e-16,1.07316203443339e-13
"ENSG00000083844",131.426388615059,2.64109761379423,0.339554848511342,4.3119996303962e-16,2.29547641862745e-13
"ENSG00000101298",54.4714219415563,-4.37823143136185,0.547230517917621,7.90366044369746e-16,4.05165052597098e-13
"ENSG00000100697",316.126395689349,-1.84832171903261,0.239474090147839,1.04169290672387e-15,5.14931125784466e-13
"ENSG00000164754",531.950593372336,1.57818484889281,0.205160511706846,1.70069595118377e-15,8.11701126218435e-13
"ENSG00000023445",394.301601341257,-2.40037564220661,0.314137722500225,1.83158867467349e-15,8.17774801488897e-13
"ENSG00000079332",313.897450159385,-1.54729968688502,0.201145520739239,1.7988367456184e-15,8.17774801488897e-13
"ENSG00000271503",761.353366868127,-4.09089566589179,0.542122455231527,2.2410474940827e-15,9.69323073924956e-13
"ENSG00000140307",232.750102753267,2.19890711329602,0.296062059728247,8.2252146005133e-15,3.44985440259711e-12
"ENSG00000160953",111.244248590131,-2.56628952406144,0.344465708899436,1.02352200404765e-14,4.16663766412458e-12
"ENSG00000135250",136.769593589065,-1.49514470020658,0.199974304070375,1.15492810857003e-14,4.56724570020507e-12
"ENSG00000141068",69.5375318349113,-2.81169175440191,0.375484443043422,1.26859168576486e-14,4.87738264518652e-12
"ENSG00000115267",660.004029073875,-2.67456059932388,0.36413959691607,1.35432539869951e-14,5.06627509281077e-12
"ENSG00000029993",247.745148538062,1.9909258875524,0.270161654548188,1.5089111026045e-14,5.49601015030236e-12
"ENSG00000137337",205.051657898318,1.59566678028367,0.216283401027765,1.66975583253997e-14,5.92592063543224e-12
"ENSG00000089902",176.19931727232,-1.46304457774927,0.197241489028243,1.95072289318041e-14,6.7499888911275e-12
"ENSG00000004478",442.122117809459,-1.7808205976444,0.242217301045472,2.02231370103274e-14,6.82703510634003e-12
"ENSG00000105372",1726.9370007328,0.998009986091109,0.134327941422835,2.51678830229626e-14,8.29401592668631e-12
"ENSG00000179119",179.806428578558,1.66470412909244,0.227549339641702,2.66233809980551e-14,8.56963293939722e-12
"ENSG00000168439",559.0376492681,-1.1748579037019,0.159930607674629,4.03978786504592e-14,1.27078872363865e-11
"ENSG00000134851",147.274707367151,-1.73934872322486,0.240290191708199,6.62071488881317e-14,2.0363847728014e-11
"ENSG00000108773",200.883174030427,-1.53391207890385,0.215057762959225,1.08517137206769e-13,3.26518629582366e-11
"ENSG00000163132",60.1747684724189,-3.05843147380791,0.429521845510693,1.20914615477128e-13,3.56080679323176e-11
"ENSG00000165312",107.436541722947,-3.33934618433116,0.477327217262987,1.26881187860294e-13,3.65867191911318e-11
"ENSG00000080824",3830.31292865114,-1.66979360035169,0.235344920277784,1.36128083782961e-13,3.84520164824481e-11
"ENSG00000050344",79.1891737760197,-4.52294674843795,0.62074539713911,1.57029133415058e-13,4.34688047119564e-11
"ENSG00000131747",1564.97051535828,2.12883704018761,0.303682834068115,1.76592042191975e-13,4.7925695215277e-11
"ENSG00000174804",95.6458449553042,-3.45512176518701,0.504096277077019,3.06733302954404e-13,8.16441470421521e-11
"ENSG00000149273",1227.16853683664,0.90688852915085,0.127507764311107,3.25437397068791e-13,8.49882832609272e-11
"ENSG00000173110",328.547128106335,-7.03342004750553,1.04223621246215,3.38960900866654e-13,8.68807005350993e-11
"ENSG00000182628",243.584843423247,1.68735344587302,0.243055270515647,3.96483540667054e-13,9.97768852067762e-11
"ENSG00000096384",2473.74681750555,-1.75018407404039,0.255121326280938,4.95458072322795e-13,1.22457771053925e-10
"ENSG00000111642",66.6336085891433,-2.28936191632851,0.333255164661922,5.26905916114028e-13,1.2573973767128e-10
"ENSG00000167280",165.920169624705,-2.50773997854361,0.36514007657318,5.26889978676243e-13,1.2573973767128e-10
"ENSG00000142937",587.740214835326,1.149259301183,0.164725202060662,5.84793175167538e-13,1.37188514194812e-10
"ENSG00000136051",318.371555259067,-1.09642358407906,0.157677268503529,6.94651087602166e-13,1.60244428391693e-10
"ENSG00000157107",124.038723958859,1.51622612238317,0.221665688103505,9.05392516268854e-13,2.02121577704471e-10
"ENSG00000112029",134.049673334927,2.27055543202541,0.335314476371441,8.98483908108528e-13,2.02121577704471e-10
"ENSG00000155363",162.247911955035,-1.66739568150997,0.244156320445283,1.15574301877202e-12,2.53914906711484e-10
"ENSG00000104321",57.074686073057,-3.85806352509339,0.565961493480401,1.37870122454871e-12,2.98165682015291e-10
"ENSG00000130522",216.368574689321,-1.81019747503798,0.268388615014377,1.51514162534991e-12,3.22631926714894e-10
"ENSG00000121417",83.3854806848869,2.56645787033618,0.386300655488036,1.78658437397114e-12,3.74668398789918e-10
"ENSG00000070756",2619.60683001037,1.19606516875066,0.176575979600018,2.11429886882268e-12,4.36776278259324e-10
"ENSG00000121957",88.4092599066837,2.59514474379168,0.390861502868052,2.1883327246546e-12,4.44253533882291e-10
"ENSG00000152952",706.09878881714,-2.32724592839557,0.350981187006881,2.24678472449681e-12,4.44253533882291e-10
"ENSG00000078304",182.213627500051,1.36120200459818,0.201960097912275,2.24219659625598e-12,4.44253533882291e-10
"ENSG00000169245",77.0806976357339,-4.60338199183482,0.686449043090239,2.3652762616582e-12,4.61095616022693e-10
"ENSG00000127948",191.571825352008,-1.54026037679547,0.229190072745092,3.04557715567852e-12,5.85469908496478e-10
"ENSG00000104960",110.305893129886,-1.9857000116584,0.297757572473981,4.55736730888979e-12,8.64089327703337e-10
"ENSG00000105939",1802.97368353923,-1.77733730265113,0.272105684773289,5.57215565486179e-12,1.04221900566138e-09
"ENSG00000163682",540.361891613357,1.12799958402979,0.170026137517882,6.1190629607508e-12,1.11439408473358e-09
