ID	avian-reass	mock-reass	mock-swine	reass-swine	mock-avian	avian-swine
ENSG00000000003	0.728432736285964	0.00300666648963306	0.911667271108483	0.0269020364397886	0.0154698895770236	0.0651730545073489
ENSG00000000419	0.940060651253608	0.754489851049768	0.925554839364031	0.993260568047083	0.655466927103765	0.926853861984819
ENSG00000000457	0.12797314596418	0.0142498425357671	0.896275578700282	0.0104261082022224	0.654485362588348	0.408962320853108
ENSG00000000460	0.627097445847421	0.285747554868463	0.977262402163314	0.297831641522504	0.714487125525496	0.66058688428921
ENSG00000000938	0.321085455508056	4.74473512595452e-06	0.477825042365975	0.00760155804915084	0.000452520247360939	0.075875591438682
ENSG00000000971	0.00025342473203325	0.0527408928450482	0.0820276322494352	0.745278309279823	0.0600846463933412	1.70153178070033e-05
ENSG00000001036	0.078955045987045	0.134191252070712	0.977802615954763	0.148108963432199	0.000205452770061997	0.000224039287457254
ENSG00000001084	0.93786739645321	1.71234005100022e-06	0.497917648799965	0.00310452223483503	7.78662221059265e-07	0.000988002950249629
ENSG00000001167	0.618059273507825	0.787897663154568	0.911338850022703	0.561119064182032	0.689488658438071	0.995550653136961
ENSG00000001460	0.469304813224422	0.331345172715511	0.935702222899595	0.580231086198948	0.0508890622701397	0.12385589944385
ENSG00000001461	0.613953083816639	4.47702587991072e-05	0.395672627442648	0.0246848188842133	0.000866435123549303	0.0948891939503579
ENSG00000001497	0.319345157606731	0.00569919701188842	0.644385706215731	0.159388448203539	3.77075398022811e-05	0.00475976329744505
ENSG00000001561	0.460307421504573	0.185181417014844	0.95378487646377	0.346593046874979	0.0219186557845253	0.0514136357090898
ENSG00000001617	0.283674541659006	0.237360190867747	0.853927966350082	0.649102351259485	0.80007125271668	0.465969738233036
ENSG00000001629	0.0346029939271105	0.816545539943565	0.98080845851861	0.914839369448683	0.00468842191252799	0.0109151952263337
ENSG00000001630	0.07164307526744	0.443489303148278	0.917121436561745	0.75199390257812	0.00349715675306926	0.0152663535994705
ENSG00000001631	0.301085609835356	0.310306022052036	0.928807574861871	0.255631477300786	0.00934620112186303	0.00791801938415655
ENSG00000002016	0.436410379505973	0.019001981153035	0.91625279317499	0.0920936980665031	0.211295633177837	0.444289054713903
ENSG00000002079	0.0277670358265464	0.0120123798564589	0.944964913706477	0.0237134150322674	0.504852688603085	0.712547809019607
ENSG00000002330	0.448170270357961	0.00366698745147944	0.522332642983936	0.155192692546847	0.0772878650125455	0.631496723118827
ENSG00000002549	0.00156423969713749	2.35147596555511e-10	6.67572713690335e-06	0.280068702387631	0.00852309683869004	0.0454526058454024
ENSG00000002586	0.796361101324076	0.00805075458602512	0.905714271632504	0.0589960686743906	0.0248116642954403	0.102764826179912
ENSG00000002587	0.369285975049892	0.409302525270899	0.949401265569618	0.353353980454079	0.760916577941428	0.951350610777763
ENSG00000002746	0.0719909620589993	0.397895078304733	0.909872876491452	0.73711741879392	0.00203831133627113	0.0128223023478344
