"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000220323",106.534752366564,2.81967273708939,0.27666812179151,1.31059268212334e-25,2.05815474800649e-21
"ENSG00000261716",196.933114425592,3.00782091652392,0.301086180614957,1.3165800440729e-24,1.03377865060604e-20
"ENSG00000083844",131.426388615059,3.13287887932687,0.331004702886312,2.1081855021536e-22,1.10356483752734e-18
"ENSG00000118160",49.0081828615295,3.83218570472586,0.410240870856395,7.04588987843201e-22,2.76621636627241e-18
"ENSG00000260368",67.5090324010111,4.83609250130422,0.534641648677159,3.40221724997784e-21,1.06856839387304e-17
"ENSG00000179598",37.6013251934483,3.11149205100231,0.33962289428605,5.20347325939455e-21,1.3619224010922e-17
"ENSG00000196378",109.622298252391,3.09656601333579,0.342974525467619,1.39026576032526e-20,2.72909168751848e-17
"ENSG00000170836",243.58403776201,2.51040441556668,0.27700538968882,1.23356857303329e-20,2.72909168751848e-17
"ENSG00000198590",44.9443654212259,3.89303602777509,0.443262947221983,4.58344034076251e-20,7.19783471113344e-17
"ENSG00000171747",58.2741829100421,3.6867877127065,0.416392878316799,4.26525845880408e-20,7.19783471113344e-17
"ENSG00000172748",61.2607871374617,3.52832797195243,0.400231834337929,5.16990737867495e-20,7.38074777042831e-17
"ENSG00000137494",101.226511817008,3.1668378888737,0.358612561454025,6.68354535197644e-20,8.7465330172865e-17
"ENSG00000244005",144.565768647474,2.76922719995488,0.314923958575443,1.22512125669074e-19,1.47994647808242e-16
"ENSG00000268403",63.8669792679548,3.6087460615669,0.415816237768956,4.0218980791419e-19,3.94749296467778e-16
"ENSG00000261556",72.7026447621145,3.30648339698479,0.382493419326799,3.80531764519487e-19,3.94749296467778e-16
"ENSG00000121417",83.3854806848869,3.27211284140095,0.376355387153694,3.6259004475975e-19,3.94749296467778e-16
"ENSG00000072778",362.48511411124,-2.08286860227477,0.237163410097492,4.48252098549112e-19,4.14079467977368e-16
"ENSG00000278346",52.2649112156746,6.46668054646172,0.756381086920961,8.48983229773674e-19,7.40690702242543e-16
"ENSG00000205085",82.4223804421557,3.59522646542908,0.423066044034397,9.01458278435611e-19,7.45078989713307e-16
"ENSG00000116005",210.416126060987,-2.79946767061178,0.324757868011228,1.2516707571389e-18,9.82811878505465e-16
